,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,IMPEDANCE,BATTERY,FRAME
0,121810944.0,4275073024.0,4105920512.0,260169728.0,325001216.0,206368768.0,208244736.0,174712832.0,369117184.0,15288320.0,92637184.0,73990144.0,192493568.0,109484032.0,156987392.0,39069696.0,41353216.0,169494528.0,204752896.0,4268969984.0,17.0,106.0,0.0
1,119269376.0,4269578240.0,4100573184.0,256997376.0,321026048.0,205336576.0,202592256.0,170280960.0,379244544.0,11130880.0,90998784.0,94660608.0,198313984.0,107829248.0,155121664.0,40210432.0,39153664.0,206759936.0,198785024.0,4264511488.0,17.0,106.0,1.0
2,128933888.0,4281718784.0,4111790080.0,263763968.0,329308160.0,212992000.0,214480896.0,180121600.0,382754816.0,21571584.0,99606528.0,93175808.0,203993088.0,116410368.0,163121152.0,47374336.0,47034368.0,188149760.0,210755584.0,4276103168.0,17.0,106.0,2.0
3,131467264.0,4287188992.0,4117069824.0,266870784.0,333207552.0,213999616.0,220131328.0,184506368.0,372598784.0,25694208.0,101230592.0,72503296.0,198189056.0,118034432.0,164956160.0,46200832.0,49207296.0,150898688.0,216682496.0,4280530944.0,17.0,106.0,3.0
4,121772032.0,4274991104.0,4105840640.0,260055040.0,324851712.0,206313472.0,208228352.0,174622720.0,369088512.0,15181824.0,92592128.0,73977856.0,192514048.0,109410304.0,156911616.0,39030784.0,41283584.0,169574400.0,204658688.0,4268883968.0,17.0,106.0,4.0
5,119244800.0,4269492224.0,4100634624.0,256894976.0,320901120.0,205301760.0,202598400.0,170227712.0,379217920.0,11028480.0,90988544.0,94676992.0,198346752.0,107776000.0,155072512.0,40269824.0,39100416.0,206837760.0,198707200.0,4264445952.0,17.0,106.0,5.0
6,128964608.0,4281683968.0,4111874048.0,263712768.0,329252864.0,212992000.0,214548480.0,180119552.0,382748672.0,21508096.0,99651584.0,93200384.0,204054528.0,116400128.0,163121152.0,47429632.0,46997504.0,188217344.0,210733056.0,4276097024.0,17.0,106.0,6.0
7,131493888.0,4287195136.0,4117174272.0,266852352.0,333172736.0,213991424.0,220219392.0,184504320.0,372594688.0,25649152.0,101251072.0,72480768.0,198232064.0,118028288.0,164966400.0,46125056.0,49164288.0,150951936.0,216682496.0,4280530944.0,17.0,106.0,7.0
8,121794560.0,4275032064.0,4105916416.0,260057088.0,324825088.0,206319616.0,208338944.0,174649344.0,369082368.0,15190016.0,92606464.0,73918464.0,192565248.0,109430784.0,156966912.0,38971392.0,41250816.0,169580544.0,204683264.0,4268918784.0,17.0,106.0,8.0
9,119269376.0,4269576192.0,4100610048.0,256937984.0,320901120.0,205328384.0,202741760.0,170266624.0,379222016.0,11071488.0,90998784.0,94547968.0,198408192.0,107806720.0,155140096.0,40167424.0,39073792.0,206757888.0,198772736.0,4264511488.0,17.0,106.0,9.0
10,128958464.0,4281749504.0,4111859712.0,263759872.0,329238528.0,213004288.0,214663168.0,180140032.0,382740480.0,21569536.0,99641344.0,93069312.0,204115968.0,116424704.0,163168256.0,47382528.0,47001600.0,188172288.0,210782208.0,4276140032.0,17.0,106.0,10.0
11,131465216.0,4287195136.0,4117088256.0,266883072.0,333125632.0,213970944.0,220301312.0,184520704.0,372590592.0,25694208.0,101242880.0,72427520.0,198295552.0,118030336.0,164995072.0,46223360.0,49174528.0,151013376.0,216692736.0,4280539136.0,17.0,106.0,11.0
12,121745408.0,4274989056.0,4105779200.0,260077568.0,324755456.0,206268416.0,208396288.0,174630912.0,369076224.0,15171584.0,92573696.0,73883648.0,192618496.0,109395968.0,156930048.0,38965248.0,41228288.0,169646080.0,204660736.0,4268898304.0,17.0,106.0,12.0
13,119207936.0,4269502464.0,4100460544.0,256905216.0,320786432.0,205225984.0,202747904.0,170221568.0,379203584.0,10999808.0,90943488.0,94556160.0,198426624.0,107732992.0,155068416.0,40110080.0,39008256.0,206833664.0,198692864.0,4264454144.0,17.0,106.0,13.0
14,128909312.0,4281679872.0,4111724544.0,263708672.0,329101312.0,212869120.0,214652928.0,180076544.0,382707712.0,21481472.0,99606528.0,93126656.0,204118016.0,116338688.0,163096576.0,47349760.0,46888960.0,188243968.0,210696192.0,4276080640.0,17.0,106.0,14.0
15,131467264.0,4287176704.0,4117061632.0,266891264.0,333047808.0,213891072.0,220323840.0,184506368.0,372543488.0,25655296.0,101259264.0,72486912.0,198326272.0,117995520.0,164952064.0,46237696.0,49076224.0,151058432.0,216662016.0,4280535040.0,17.0,106.0,15.0
16,121753600.0,4274989056.0,4105791488.0,260087808.0,324700160.0,206225408.0,208433152.0,174637056.0,369037312.0,15169536.0,92590080.0,73932800.0,192661504.0,109377536.0,156913664.0,38989824.0,41152512.0,169740288.0,204648448.0,4268912640.0,17.0,106.0,16.0
17,119216128.0,4269514752.0,4100493312.0,256933888.0,320759808.0,205217792.0,202838016.0,170229760.0,379170816.0,11024384.0,90963968.0,94564352.0,198512640.0,107747328.0,155049984.0,40134656.0,38987776.0,206919680.0,198727680.0,4264488960.0,17.0,106.0,17.0
18,128944128.0,4281718784.0,4111785984.0,263741440.0,329105408.0,212901888.0,214786048.0,180123648.0,382695424.0,21524480.0,99624960.0,93091840.0,204228608.0,116383744.0,163094528.0,47335424.0,46886912.0,188332032.0,210757632.0,4276125696.0,17.0,106.0,18.0
19,131504128.0,4287221760.0,4117094400.0,266924032.0,333047808.0,213921792.0,220456960.0,184559616.0,372580352.0,25708544.0,101265408.0,72443904.0,198434816.0,118050816.0,164978688.0,46217216.0,49088512.0,151156736.0,216721408.0,4280588288.0,17.0,106.0,19.0
20,121806848.0,4275027968.0,4105838592.0,260130816.0,324675584.0,206229504.0,208543744.0,174682112.0,369076224.0,15228928.0,92616704.0,73877504.0,192743424.0,109426688.0,156954624.0,39004160.0,41187328.0,169779200.0,204699648.0,4268945408.0,17.0,106.0,20.0
21,119250944.0,4269508608.0,4100515840.0,256931840.0,320684032.0,205176832.0,202876928.0,170248192.0,379201536.0,11042816.0,90961920.0,94511104.0,198549504.0,107759616.0,155095040.0,40136704.0,38977536.0,206940160.0,198727680.0,4264470528.0,17.0,106.0,21.0
22,128962560.0,4281683968.0,4111759360.0,263735296.0,329027584.0,212860928.0,214812672.0,180119552.0,382734336.0,21499904.0,99606528.0,93071360.0,204249088.0,116355072.0,163115008.0,47339520.0,46874624.0,188366848.0,210737152.0,4276088832.0,17.0,106.0,22.0
23,131502080.0,4287191040.0,4117080064.0,266885120.0,332961792.0,213882880.0,220489728.0,184516608.0,372606976.0,25679872.0,101255168.0,72456192.0,198438912.0,118013952.0,164964352.0,46215168.0,49090560.0,151214080.0,216682496.0,4280559616.0,17.0,106.0,23.0
24,121794560.0,4274982912.0,4105814016.0,260071424.0,324595712.0,206176256.0,208590848.0,174626816.0,369094656.0,15187968.0,92602368.0,73908224.0,192757760.0,109387776.0,156911616.0,39000064.0,41166848.0,169838592.0,204654592.0,4268931072.0,17.0,106.0,24.0
25,119246848.0,4269447168.0,4100509696.0,256866304.0,320593920.0,205109248.0,202917888.0,170172416.0,379185152.0,10973184.0,90945536.0,94521344.0,198565888.0,107698176.0,155017216.0,40118272.0,38934528.0,207028224.0,198658048.0,4264437760.0,17.0,106.0,25.0
26,128970752.0,4281661440.0,4111794176.0,263743488.0,328962048.0,212811776.0,214874112.0,180078592.0,382734336.0,21460992.0,99608576.0,93087744.0,204292096.0,116320256.0,163074048.0,47339520.0,46872576.0,188430336.0,210694144.0,4276084736.0,17.0,106.0,26.0
27,131549184.0,4287188992.0,4117139456.0,266975232.0,332959744.0,213864448.0,220598272.0,184539136.0,372635648.0,25681920.0,101261312.0,72470528.0,198514688.0,117983232.0,164962304.0,46211072.0,49129472.0,151267328.0,216700928.0,4280567808.0,17.0,106.0,27.0
28,121841664.0,4274997248.0,4105887744.0,260169728.0,324610048.0,206170112.0,208715776.0,174678016.0,369121280.0,15196160.0,92585984.0,73895936.0,192839680.0,109371392.0,156913664.0,38975488.0,41195520.0,169873408.0,204689408.0,4268945408.0,17.0,106.0,28.0
29,119300096.0,4269541376.0,4100644864.0,257009664.0,320634880.0,205137920.0,203079680.0,170276864.0,379215872.0,11040768.0,90961920.0,94486528.0,198668288.0,107730944.0,155072512.0,40112128.0,38991872.0,206985216.0,198739968.0,4264517632.0,17.0,106.0,29.0
30,129009664.0,4281747456.0,4111896576.0,263835648.0,328978432.0,212830208.0,215017472.0,180158464.0,382734336.0,21534720.0,99622912.0,93040640.0,204378112.0,116355072.0,163115008.0,47329280.0,46901248.0,188434432.0,210763776.0,4276137984.0,17.0,106.0,30.0
31,131555328.0,4287256576.0,4117135360.0,266983424.0,332916736.0,213854208.0,220702720.0,184573952.0,372604928.0,25694208.0,101257216.0,72445952.0,198580224.0,117989376.0,164976640.0,46196736.0,49090560.0,151314432.0,216707072.0,4280569856.0,17.0,106.0,31.0
32,121827328.0,4275066880.0,4105861120.0,260163584.0,324554752.0,206168064.0,208799744.0,174678016.0,369094656.0,15194112.0,92575744.0,73897984.0,192890880.0,109342720.0,156921856.0,38985728.0,41168896.0,169926656.0,204687360.0,4268933120.0,17.0,106.0,32.0
33,119287808.0,4269565952.0,4100573184.0,257011712.0,320595968.0,205137920.0,203175936.0,170254336.0,379213824.0,11030528.0,90937344.0,94527488.0,198719488.0,107694080.0,155056128.0,40142848.0,38957056.0,207046656.0,198733824.0,4264501248.0,17.0,106.0,33.0
34,128991232.0,4281708544.0,4111771648.0,263784448.0,328916992.0,212779008.0,215072768.0,180111360.0,382709760.0,21469184.0,99567616.0,93106176.0,204390400.0,116277248.0,163028992.0,47284224.0,46815232.0,188479488.0,210702336.0,4276086784.0,17.0,106.0,34.0
35,131532800.0,4287188992.0,4117030912.0,266928128.0,332845056.0,213796864.0,220723200.0,184512512.0,372555776.0,25593856.0,101197824.0,72488960.0,198576128.0,117901312.0,164864000.0,46116864.0,48971776.0,151347200.0,216635392.0,4280510464.0,17.0,106.0,35.0
36,121810944.0,4275009536.0,4105746432.0,260120576.0,324491264.0,206116864.0,208818176.0,174647296.0,369051648.0,15106048.0,92555264.0,73902080.0,192901120.0,109285376.0,156846080.0,38948864.0,41052160.0,169959424.0,204625920.0,4268879872.0,17.0,106.0,36.0
37,119300096.0,4269570048.0,4100489216.0,257021952.0,320583680.0,205142016.0,203233280.0,170299392.0,379205632.0,11012096.0,90966016.0,94527488.0,198762496.0,107683840.0,155021312.0,40155136.0,38895616.0,207073280.0,198727680.0,4264478720.0,17.0,106.0,37.0
38,129003520.0,4281757696.0,4111783936.0,263833600.0,328957952.0,212846592.0,215166976.0,180201472.0,382756864.0,21499904.0,99633152.0,93112320.0,204474368.0,116307968.0,163074048.0,47347712.0,46821376.0,188545024.0,210739200.0,4276101120.0,17.0,106.0,38.0
39,131561472.0,4287256576.0,4117082112.0,266969088.0,332924928.0,213872640.0,220860416.0,184653824.0,372645888.0,25671680.0,101279744.0,72505344.0,198678528.0,117968896.0,164966400.0,46170112.0,49027072.0,151406592.0,216698880.0,4280547328.0,17.0,106.0,39.0
40,121868288.0,4275077120.0,4105760768.0,260194304.0,324573184.0,206188544.0,208977920.0,174807040.0,369139712.0,15196160.0,92637184.0,73926656.0,193001472.0,109363200.0,156942336.0,38952960.0,41109504.0,169996288.0,204691456.0,4268920832.0,17.0,106.0,40.0
41,119308288.0,4269557760.0,4100485120.0,257030144.0,320573440.0,205144064.0,203307008.0,170364928.0,379217920.0,11020288.0,90988544.0,94494720.0,198793216.0,107702272.0,155058176.0,40116224.0,38860800.0,207058944.0,198723584.0,4264462336.0,17.0,106.0,41.0
42,128993280.0,4281694208.0,4111702016.0,263839744.0,328869888.0,212789248.0,215199744.0,180191232.0,382717952.0,21456896.0,99612672.0,93038592.0,204457984.0,116301824.0,163057664.0,47294464.0,46731264.0,188493824.0,210700288.0,4276070400.0,17.0,106.0,42.0
